Gender,Own_Car,Own_Realty,Children,Annual_Income,Income_Type,Education,Marital_Status,Housing_Type,Age,Years_Employed,Family_Size,Occupation_Type,TARGET
F,N,N,0,112500.0,Pensioner,Higher education,Widow,House / apartment,64,0.0,1.0,Unknown,0
F,N,Y,1,118350.0,Working,Higher education,Civil marriage,House / apartment,27,2.1,3.0,Laborers,0
M,N,N,0,135000.0,Working,Incomplete higher,Civil marriage,House / apartment,30,4.5,2.0,Low-skill Laborers,0
M,N,N,0,135000.0,Working,Incomplete higher,Civil marriage,House / apartment,30,4.5,2.0,Low-skill Laborers,0
M,Y,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,28,7.7,2.0,Drivers,0
M,Y,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,28,7.7,2.0,Drivers,0
M,Y,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,28,7.7,2.0,Drivers,0
F,N,Y,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,46,25.2,2.0,Managers,0
F,N,Y,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,46,25.2,2.0,Managers,0
F,N,Y,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,46,25.2,2.0,Managers,0
F,N,Y,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,46,25.2,2.0,Managers,0
F,N,Y,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,46,25.2,2.0,Managers,0
F,N,Y,0,405000.0,Commercial associate,Higher education,Married,House / apartment,32,6.0,2.0,Managers,0
F,N,Y,0,405000.0,Commercial associate,Higher education,Married,House / apartment,32,6.0,2.0,Managers,0
F,N,Y,0,405000.0,Commercial associate,Higher education,Married,House / apartment,32,6.0,2.0,Managers,0
F,N,Y,0,405000.0,Commercial associate,Higher education,Married,House / apartment,32,6.0,2.0,Managers,0
F,N,Y,0,405000.0,Commercial associate,Higher education,Married,House / apartment,32,6.0,2.0,Managers,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,48,10.7,2.0,Unknown,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,48,10.7,2.0,Unknown,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,48,10.7,2.0,Unknown,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,48,10.7,2.0,Unknown,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,48,10.7,2.0,Unknown,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,48,10.7,2.0,Unknown,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,48,10.7,2.0,Unknown,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,48,10.7,2.0,Unknown,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,48,10.7,2.0,Unknown,0
M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,64,0.0,2.0,Unknown,0
F,Y,Y,0,427500.0,Pensioner,Secondary / secondary special,Married,House / apartment,56,0.0,2.0,Unknown,0
M,N,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41,15.3,2.0,Unknown,0
M,N,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41,15.3,2.0,Unknown,0
M,N,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41,15.3,2.0,Unknown,0
F,N,Y,0,225000.0,Pensioner,Higher education,Married,House / apartment,59,0.0,2.0,Unknown,0
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,26,8.2,2.0,Laborers,0
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,26,8.2,2.0,Laborers,0
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,26,8.2,2.0,Laborers,0
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,26,8.2,2.0,Laborers,0
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,26,8.2,2.0,Laborers,0
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,26,8.2,2.0,Laborers,0
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,26,8.2,2.0,Laborers,0
F,Y,Y,0,360000.0,Commercial associate,Higher education,Married,House / apartment,29,1.4,2.0,Core staff,0
F,Y,Y,0,360000.0,Commercial associate,Higher education,Married,House / apartment,29,1.4,2.0,Core staff,0
F,Y,Y,1,180000.0,Commercial associate,Higher education,Separated,House / apartment,50,19.7,2.0,Core staff,0
F,Y,Y,1,180000.0,Commercial associate,Higher education,Separated,House / apartment,50,19.7,2.0,Core staff,0
F,Y,Y,1,180000.0,Commercial associate,Higher education,Separated,House / apartment,50,19.7,2.0,Core staff,0
F,Y,Y,1,180000.0,Commercial associate,Higher education,Separated,House / apartment,50,19.7,2.0,Core staff,0
M,Y,N,1,270000.0,Working,Higher education,Married,Rented apartment,29,0.6,3.0,Laborers,0
M,Y,N,1,270000.0,Working,Higher education,Married,Rented apartment,29,0.6,3.0,Laborers,0
M,Y,N,1,270000.0,Working,Higher education,Married,Rented apartment,29,0.6,3.0,Laborers,0
M,Y,N,1,270000.0,Working,Higher education,Married,Rented apartment,29,0.6,3.0,Laborers,0
F,N,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,Rented apartment,37,1.1,1.0,Cooking staff,0
F,N,Y,0,247500.0,State servant,Higher education,Widow,House / apartment,54,17.0,1.0,Unknown,0
F,N,Y,0,247500.0,State servant,Higher education,Widow,House / apartment,54,17.0,1.0,Unknown,0
F,N,Y,0,247500.0,State servant,Higher education,Widow,House / apartment,54,17.0,1.0,Unknown,0
F,N,Y,0,247500.0,State servant,Higher education,Widow,House / apartment,54,17.0,1.0,Unknown,0
F,N,Y,0,247500.0,State servant,Higher education,Widow,House / apartment,54,17.0,1.0,Unknown,0
F,N,Y,0,247500.0,State servant,Higher education,Widow,House / apartment,54,17.0,1.0,Unknown,0
F,N,Y,0,247500.0,State servant,Higher education,Widow,House / apartment,54,17.0,1.0,Unknown,0
F,N,Y,0,247500.0,State servant,Higher education,Widow,House / apartment,54,17.0,1.0,Unknown,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,36,4.4,2.0,Unknown,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,36,4.4,2.0,Unknown,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,36,4.4,2.0,Unknown,0
F,N,Y,0,139500.0,Working,Higher education,Married,With parents,25,1.2,2.0,Unknown,0
F,N,Y,0,139500.0,Working,Higher education,Married,With parents,25,1.2,2.0,Unknown,0
F,N,Y,0,139500.0,Working,Higher education,Married,With parents,25,1.2,2.0,Unknown,0
M,Y,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,41,3.1,2.0,Managers,0
M,Y,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,41,3.1,2.0,Managers,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,11.1,2.0,Managers,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,11.1,2.0,Managers,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,11.1,2.0,Managers,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,11.1,2.0,Managers,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,11.1,2.0,Managers,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,11.1,2.0,Managers,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,11.1,2.0,Managers,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,11.1,2.0,Managers,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,11.1,2.0,Managers,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,11.1,2.0,Managers,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,11.1,2.0,Managers,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,11.1,2.0,Managers,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,11.1,2.0,Managers,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,11.1,2.0,Managers,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,11.1,2.0,Managers,0
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,11.1,2.0,Managers,0
M,N,Y,1,63000.0,Working,Secondary / secondary special,Single / not married,House / apartment,39,2.1,2.0,Unknown,0
M,N,Y,1,63000.0,Working,Secondary / secondary special,Single / not married,House / apartment,39,2.1,2.0,Unknown,0
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,23,1.2,2.0,Laborers,0
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,23,1.2,2.0,Laborers,0
M,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,24,3.0,1.0,Laborers,0
F,Y,N,1,337500.0,Working,Higher education,Married,House / apartment,28,7.1,3.0,Unknown,0
F,Y,N,1,337500.0,Working,Higher education,Married,House / apartment,28,7.1,3.0,Unknown,0
F,Y,N,1,337500.0,Working,Higher education,Married,House / apartment,28,7.1,3.0,Unknown,0
F,Y,N,1,337500.0,Working,Higher education,Married,House / apartment,28,7.1,3.0,Unknown,0
F,Y,N,1,337500.0,Working,Higher education,Married,House / apartment,28,7.1,3.0,Unknown,0
F,Y,N,1,337500.0,Working,Higher education,Married,House / apartment,28,7.1,3.0,Unknown,0
F,Y,N,1,337500.0,Working,Higher education,Married,House / apartment,28,7.1,3.0,Unknown,0
F,Y,N,1,337500.0,Working,Higher education,Married,House / apartment,28,7.1,3.0,Unknown,0
F,Y,N,1,337500.0,Working,Higher education,Married,House / apartment,28,7.1,3.0,Unknown,0
F,Y,N,1,337500.0,Working,Higher education,Married,House / apartment,28,7.1,3.0,Unknown,0
F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,42,4.7,2.0,Laborers,0
F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,42,4.7,2.0,Laborers,0
F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,42,4.7,2.0,Laborers,0
M,N,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,61,3.8,4.0,Unknown,0
M,N,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,61,3.8,4.0,Unknown,0
M,N,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,61,3.8,4.0,Unknown,0
F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55,0.0,2.0,Unknown,0
F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,32,4.9,2.0,Accountants,0
F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,32,4.9,2.0,Accountants,0
F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,32,4.9,2.0,Accountants,0
F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,32,4.9,2.0,Accountants,0
F,N,Y,0,108000.0,Working,Secondary / secondary special,Married,House / apartment,22,3.7,2.0,High skill tech staff,0
F,N,Y,0,108000.0,Working,Secondary / secondary special,Married,House / apartment,22,3.7,2.0,High skill tech staff,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.3,2.0,Unknown,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.3,2.0,Unknown,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.3,2.0,Unknown,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.3,2.0,Unknown,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.3,2.0,Unknown,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.3,2.0,Unknown,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.3,2.0,Unknown,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.3,2.0,Unknown,0
F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,62,9.9,2.0,Unknown,0
F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,62,9.9,2.0,Unknown,0
F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,62,9.9,2.0,Unknown,0
F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,62,9.9,2.0,Unknown,0
F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,2.8,4.0,Cooking staff,0
F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,2.8,4.0,Cooking staff,0
F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,2.8,4.0,Cooking staff,0
F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,2.8,4.0,Cooking staff,0
F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,2.8,4.0,Cooking staff,0
F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,2.8,4.0,Cooking staff,0
F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,2.8,4.0,Cooking staff,0
F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,2.8,4.0,Cooking staff,0
F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,2.8,4.0,Cooking staff,0
F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,2.8,4.0,Cooking staff,0
M,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,53,15.5,2.0,Managers,0
F,N,N,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,43,3.0,4.0,Laborers,0
F,N,N,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,43,3.0,4.0,Laborers,0
F,N,Y,0,85500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0.0,2.0,Unknown,0
F,N,Y,0,85500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0.0,2.0,Unknown,0
F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,33,2.0,3.0,Unknown,0
F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,33,2.0,3.0,Unknown,0
F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,33,2.0,3.0,Unknown,0
F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,33,2.0,3.0,Unknown,0
F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,33,2.0,3.0,Unknown,0
F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,33,2.0,3.0,Unknown,0
F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,33,2.0,3.0,Unknown,0
F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,33,2.0,3.0,Unknown,0
F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,33,2.0,3.0,Unknown,0
F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,33,2.0,3.0,Unknown,0
F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,33,2.0,3.0,Unknown,0
F,N,Y,0,450000.0,Working,Higher education,Civil marriage,House / apartment,48,9.1,2.0,High skill tech staff,0
F,N,Y,0,450000.0,Working,Higher education,Civil marriage,House / apartment,48,9.1,2.0,High skill tech staff,0
F,N,Y,0,450000.0,Working,Higher education,Civil marriage,House / apartment,48,9.1,2.0,High skill tech staff,0
F,N,Y,0,450000.0,Working,Higher education,Civil marriage,House / apartment,48,9.1,2.0,High skill tech staff,0
M,Y,N,0,135000.0,Commercial associate,Higher education,Married,House / apartment,47,5.6,2.0,Laborers,0
F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,50,1.1,2.0,Sales staff,0
F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,50,1.1,2.0,Sales staff,0
F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,50,1.1,2.0,Sales staff,0
M,N,Y,0,171000.0,Working,Secondary / secondary special,Married,House / apartment,52,4.6,2.0,Drivers,0
M,N,Y,0,171000.0,Working,Secondary / secondary special,Married,House / apartment,52,4.6,2.0,Drivers,0
M,N,Y,0,171000.0,Working,Secondary / secondary special,Married,House / apartment,52,4.6,2.0,Drivers,0
M,N,Y,0,171000.0,Working,Secondary / secondary special,Married,House / apartment,52,4.6,2.0,Drivers,0
M,N,Y,0,202500.0,Working,Higher education,Married,House / apartment,40,5.6,2.0,Managers,0
M,N,Y,0,202500.0,Working,Higher education,Married,House / apartment,40,5.6,2.0,Managers,0
M,N,Y,0,202500.0,Working,Higher education,Married,House / apartment,40,5.6,2.0,Managers,0
M,N,Y,0,202500.0,Working,Higher education,Married,House / apartment,40,5.6,2.0,Managers,0
M,N,Y,0,202500.0,Working,Higher education,Married,House / apartment,40,5.6,2.0,Managers,0
M,N,Y,0,202500.0,Working,Higher education,Married,House / apartment,40,5.6,2.0,Managers,0
F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,43,17.8,2.0,Core staff,0
M,Y,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33,1.9,3.0,Laborers,0
M,Y,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33,1.9,3.0,Laborers,0
F,Y,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,35,3.6,3.0,Unknown,0
F,Y,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,35,3.6,3.0,Unknown,0
M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,37,8.5,3.0,Laborers,0
M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,37,8.5,3.0,Laborers,0
M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,37,8.5,3.0,Laborers,0
M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,37,8.5,3.0,Laborers,0
M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,37,8.5,3.0,Laborers,0
M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,37,8.5,3.0,Laborers,0
M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,37,8.5,3.0,Laborers,0
M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,37,8.5,3.0,Laborers,0
M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,37,8.5,3.0,Laborers,0
M,N,Y,0,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,33,8.1,2.0,Managers,0
M,N,Y,0,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,33,8.1,2.0,Managers,0
M,N,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,45,9.0,3.0,Unknown,0
M,N,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,45,9.0,3.0,Unknown,0
M,N,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,45,9.0,3.0,Unknown,0
F,N,Y,3,135000.0,Working,Secondary / secondary special,Married,House / apartment,41,4.6,5.0,Sales staff,0
F,N,Y,3,135000.0,Working,Secondary / secondary special,Married,House / apartment,41,4.6,5.0,Sales staff,0
F,N,Y,3,135000.0,Working,Secondary / secondary special,Married,House / apartment,41,4.6,5.0,Sales staff,0
F,N,Y,3,135000.0,Working,Secondary / secondary special,Married,House / apartment,41,4.6,5.0,Sales staff,0
F,Y,Y,0,234000.0,Working,Secondary / secondary special,Married,House / apartment,51,6.8,2.0,Laborers,0
F,Y,Y,0,234000.0,Working,Secondary / secondary special,Married,House / apartment,51,6.8,2.0,Laborers,0
M,N,N,3,126000.0,Working,Secondary / secondary special,Civil marriage,With parents,33,3.9,5.0,Unknown,0
M,N,N,3,126000.0,Working,Secondary / secondary special,Civil marriage,With parents,33,3.9,5.0,Unknown,0
M,N,N,3,126000.0,Working,Secondary / secondary special,Civil marriage,With parents,33,3.9,5.0,Unknown,0
M,N,N,3,126000.0,Working,Secondary / secondary special,Civil marriage,With parents,33,3.9,5.0,Unknown,0
M,N,N,3,126000.0,Working,Secondary / secondary special,Civil marriage,With parents,33,3.9,5.0,Unknown,0
M,N,N,3,126000.0,Working,Secondary / secondary special,Civil marriage,With parents,33,3.9,5.0,Unknown,0
M,N,N,3,126000.0,Working,Secondary / secondary special,Civil marriage,With parents,33,3.9,5.0,Unknown,0
M,N,N,3,126000.0,Working,Secondary / secondary special,Civil marriage,With parents,33,3.9,5.0,Unknown,0
M,N,N,3,126000.0,Working,Secondary / secondary special,Civil marriage,With parents,33,3.9,5.0,Unknown,0
F,Y,Y,2,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,59,0.0,3.0,Unknown,0
F,Y,Y,2,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,59,0.0,3.0,Unknown,0
M,N,N,0,121500.0,Working,Secondary / secondary special,Single / not married,House / apartment,27,3.9,1.0,Drivers,0
F,N,N,0,270000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,59,0.0,1.0,Unknown,0
F,N,N,0,270000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,59,0.0,1.0,Unknown,0
F,N,N,0,270000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,59,0.0,1.0,Unknown,0
M,Y,Y,0,270000.0,Working,Lower secondary,Separated,House / apartment,52,10.5,1.0,Laborers,0
M,Y,Y,0,270000.0,Working,Lower secondary,Separated,House / apartment,52,10.5,1.0,Laborers,0
M,Y,Y,0,270000.0,Working,Lower secondary,Separated,House / apartment,52,10.5,1.0,Laborers,0
M,Y,Y,0,270000.0,Working,Lower secondary,Separated,House / apartment,52,10.5,1.0,Laborers,0
M,Y,Y,0,270000.0,Working,Lower secondary,Separated,House / apartment,52,10.5,1.0,Laborers,0
M,Y,Y,0,270000.0,Working,Lower secondary,Separated,House / apartment,52,10.5,1.0,Laborers,0
M,Y,Y,0,270000.0,Working,Lower secondary,Separated,House / apartment,52,10.5,1.0,Laborers,0
M,Y,Y,0,270000.0,Working,Lower secondary,Separated,House / apartment,52,10.5,1.0,Laborers,0
M,Y,Y,0,270000.0,Working,Lower secondary,Separated,House / apartment,52,10.5,1.0,Laborers,0
M,Y,Y,0,270000.0,Working,Lower secondary,Separated,House / apartment,52,10.5,1.0,Laborers,0
M,Y,Y,0,270000.0,Working,Lower secondary,Separated,House / apartment,52,10.5,1.0,Laborers,0
M,Y,Y,0,270000.0,Working,Lower secondary,Separated,House / apartment,52,10.5,1.0,Laborers,0
F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,27,5.1,2.0,Sales staff,0
F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,27,5.1,2.0,Sales staff,0
F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,27,5.1,2.0,Sales staff,0
F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,27,5.1,2.0,Sales staff,0
F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,27,5.1,2.0,Sales staff,0
F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,27,5.1,2.0,Sales staff,0
F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,27,5.1,2.0,Sales staff,0
F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,27,5.1,2.0,Sales staff,0
M,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,53,2.9,2.0,Laborers,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4.9,2.0,Sales staff,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4.9,2.0,Sales staff,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4.9,2.0,Sales staff,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4.9,2.0,Sales staff,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4.9,2.0,Sales staff,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4.9,2.0,Sales staff,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4.9,2.0,Sales staff,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4.9,2.0,Sales staff,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4.9,2.0,Sales staff,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4.9,2.0,Sales staff,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4.9,2.0,Sales staff,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4.9,2.0,Sales staff,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4.9,2.0,Sales staff,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4.9,2.0,Sales staff,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4.9,2.0,Sales staff,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4.9,2.0,Sales staff,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4.9,2.0,Sales staff,0
F,N,Y,0,225000.0,Working,Secondary / secondary special,Widow,House / apartment,47,0.4,1.0,Sales staff,0
F,N,Y,0,225000.0,Working,Secondary / secondary special,Widow,House / apartment,47,0.4,1.0,Sales staff,0
F,N,Y,0,225000.0,Working,Secondary / secondary special,Widow,House / apartment,47,0.4,1.0,Sales staff,0
F,N,Y,0,225000.0,Working,Secondary / secondary special,Widow,House / apartment,47,0.4,1.0,Sales staff,0
F,N,Y,0,225000.0,Working,Secondary / secondary special,Widow,House / apartment,47,0.4,1.0,Sales staff,0
F,N,Y,0,225000.0,Working,Secondary / secondary special,Widow,House / apartment,47,0.4,1.0,Sales staff,0
F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,25,2.0,2.0,Unknown,0
M,N,Y,0,189000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41,16.1,2.0,Unknown,0
F,N,Y,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,47,0.6,2.0,Unknown,0
F,N,Y,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,47,0.6,2.0,Unknown,0
F,N,Y,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57,0.0,2.0,Unknown,0
F,N,Y,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57,0.0,2.0,Unknown,0
F,N,Y,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57,0.0,2.0,Unknown,0
M,N,Y,0,103500.0,Working,Secondary / secondary special,Single / not married,House / apartment,54,2.1,1.0,Laborers,0
M,N,Y,0,103500.0,Working,Secondary / secondary special,Single / not married,House / apartment,54,2.1,1.0,Laborers,0
F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0.0,2.0,Unknown,0
